Province/State,Country,Date last updated,Confirmed,Suspected,Recovered,Deaths
Shanghai,Mainland China,2020-1-21,9,10,,
Yunnan,Mainland China,2020-1-21,1,,,
Beijing,Mainland China,2020-1-21,10,,,
Taiwan,Mainland China,2020-1-21,1,,,
Jilin,Mainland China,2020-1-21,,1,,
Sichuan,Mainland China,2020-1-21,2,1,,
Tianjin,Mainland China,2020-1-21,2,,,
Ningxia,Mainland China,2020-1-21,,1,,
Anhui,Mainland China,2020-1-21,,3,,
Shandong,Mainland China,2020-1-21,1,,,
Guangdong,Mainland China,2020-1-21,17,4,,
Guangxi,Mainland China,2020-1-21,,1,,
Jiangxi,Mainland China,2020-1-21,2,,,
Henan,Mainland China,2020-1-21,1,,,
Zhejiang,Mainland China,2020-1-21,5,16,,
Hainan,Mainland China,2020-1-21,,1,,
Hubei,Mainland China,2020-1-21,270,11,,
Hunan,Mainland China,2020-1-21,1,,,
Guizhou,Mainland China,2020-1-21,,1,,
Liaoning,Mainland China,2020-1-21,,1,,
Chongqing,Mainland China,2020-1-21,5,,,
Hong Kong,Mainland China,2020-1-21,,117,,
Heilongjiang,Mainland China,2020-1-21,,1,,
,Japan,2020-1-21,1,,,
,Thailand,2020-1-21,2,,,
,South Korea,2020-1-21,1,,,
Washington,United States,2020-1-21,1,,,
Anhui,Mainland China,2020-1-22,1,4,,
Beijing,Mainland China,2020-1-22,14,,,
Chongqing,Mainland China,2020-1-22,6,,,
Fujian,Mainland China,2020-1-22,1,,,
Gansu,Mainland China,2020-1-22,,,,
Guangdong,Mainland China,2020-1-22,26,1,,
Guangxi,Mainland China,2020-1-22,2,1,,
Guizhou,Mainland China,2020-1-22,1,,,
Hainan,Mainland China,2020-1-22,4,,,
Hebei,Mainland China,2020-1-22,1,,,
Heilongjiang,Mainland China,2020-1-22,,1,,
Henan,Mainland China,2020-1-22,5,,,
Hong Kong,Mainland China,2020-1-22,,117,,
Hubei,Mainland China,2020-1-22,444,,,
Hunan,Mainland China,2020-1-22,4,,,
Inner Mongolia,Mainland China,2020-1-22,,,,
Jiangsu,Mainland China,2020-1-22,1,,,
Jiangxi,Mainland China,2020-1-22,2,,,
Jilin,Mainland China,2020-1-22,,1,,
Liaoning,Mainland China,2020-1-22,2,,,
Macau,Mainland China,2020-1-22,1,,,
Ningxia,Mainland China,2020-1-22,1,,,
Qinghai,Mainland China,2020-1-22,,,,
Shaanxi,Mainland China,2020-1-22,,,,
Shandong,Mainland China,2020-1-22,2,,,
Shanghai,Mainland China,2020-1-22,9,10,,
Shanxi,Mainland China,2020-1-22,1,,,
Sichuan,Mainland China,2020-1-22,5,2,,
Taiwan,Mainland China,2020-1-22,1,,,
Tianjin,Mainland China,2020-1-22,4,,,
Tibet,China,2020-1-22,,,,
Washington,US,2020-1-22,1,,,
Xinjiang,Mainland China,2020-1-22,,,,
Yunnan,Mainland China,2020-1-22,1,,,
Zhejiang,Mainland China,2020-1-22,10,,,
,Japan,2020-1-22,2,,,
,Thailand,2020-1-22,2,,,
,South Korea,2020-1-22,1,,,
Anhui,Mainland China,2020-1-23,9,4,,
Beijing,Mainland China,2020-1-23,22,,,
Chongqing,Mainland China,2020-1-23,9,,,
Fujian,Mainland China,2020-1-23,5,2,,
Gansu,Mainland China,2020-1-23,2,,,
Guangdong,Mainland China,2020-1-23,32,1,2,
Guangxi,Mainland China,2020-1-23,5,,,
Guizhou,Mainland China,2020-1-23,3,,,
Hainan,Mainland China,2020-1-23,5,32,,
Hebei,Mainland China,2020-1-23,1,,,1
Heilongjiang,Mainland China,2020-1-23,2,,,
Henan,Mainland China,2020-1-23,5,,,
Hong Kong,Hong Kong,2020-1-23,2,65,,
Hubei,Mainland China,2020-1-23,444,,28,17
Hunan,Mainland China,2020-1-23,9,,,
Inner Mongolia,Mainland China,2020-1-23,,1,,
Jiangsu,Mainland China,2020-1-23,5,,,
Jiangxi,Mainland China,2020-1-23,7,,,
Jilin,Mainland China,2020-1-23,1,,,
Liaoning,Mainland China,2020-1-23,3,,,
Macau,Macau,2020-1-23,2,,,
Ningxia,Mainland China,2020-1-23,1,,,
Qinghai,Mainland China,2020-1-23,,,,
Shaanxi,Mainland China,2020-1-23,3,1,,
Shandong,Mainland China,2020-1-23,6,2,,
Shanghai,Mainland China,2020-1-23,16,22,,
Shanxi,Mainland China,2020-1-23,1,,,
Sichuan,Mainland China,2020-1-23,8,2,,
Taiwan,Taiwan,2020-1-23,1,,,
Tianjin,Mainland China,2020-1-23,4,,,
Tibet,Mainland China,2020-1-23,,,,
Washington,US,2020-1-23,1,,,
Xinjiang,Mainland China,2020-1-23,2,,,
Yunnan,Mainland China,2020-1-23,2,,,
Zhejiang,Mainland China,2020-1-23,27,,,
,Japan,2020-1-23,1,,,
,Thailand,2020-1-23,3,,,
,South Korea,2020-1-23,1,,,
,Singapore,2020-1-23,1,,,
,Philippines,2020-1-23,,4,,
,Malaysia,2020-1-23,,4,,
,Vietnam,2020-1-23,2,,,
,Australia,2020-1-23,,1,,
,Mexico,2020-1-23,,1,,
,Brazil,2020-1-23,,1,,
,Colombia,2020-1-23,,1,,
Hubei,Mainland China,2020-1-24,549,,31,24
Guangdong,Mainland China,2020-1-24,53,,2,
Zhejiang,Mainland China,2020-1-24,43,,1,
Beijing,Mainland China,2020-1-24,26,22,,
Shanghai,Mainland China,2020-1-24,20,,,
Hunan,Mainland China,2020-1-24,24,,,
Anhui,Mainland China,2020-1-24,15,4,,
Chongqing,Mainland China,2020-1-24,27,13,,
Sichuan,Mainland China,2020-1-24,15,4,,
Shandong,Mainland China,2020-1-24,9,,,
Guangxi,Mainland China,2020-1-24,13,,,
Fujian,Mainland China,2020-1-24,5,2,,
Jiangsu,Mainland China,2020-1-24,9,,,
Henan,Mainland China,2020-1-24,9,,,
Hainan,Mainland China,2020-1-24,8,32,,
Tianjin,Mainland China,2020-1-24,5,,,
Jiangxi,Mainland China,2020-1-24,7,,,
Shaanxi,Mainland China,2020-1-24,3,,,
