Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
Hubei,Mainland China,2020-2-5,16678,,538,479
Guangdong,Mainland China,2020-2-5,895,,49,0
Zhejiang,Mainland China,2020-2-5,895,,78,0
Henan,Mainland China,2020-2-5,764,,47,2
Hunan,Mainland China,2020-2-5,661,,54,0
Jiangxi,Mainland China,2020-2-5,548,,27,0
Anhui,Mainland China,2020-2-5,530,,23,0
Chongqing,Mainland China,2020-2-5,376,,15,2
Jiangsu,Mainland China,2020-2-5,341,,23,0
Shandong,Mainland China,2020-2-5,307,,15,0
Sichuan,Mainland China,2020-2-5,301,,24,1
Beijing,Mainland China,2020-2-5,253,,24,1
Shanghai,Mainland China,2020-2-5,243,,15,1
Fujian,Mainland China,2020-2-5,205,,11,0
Heilongjiang,Mainland China,2020-2-5,190,,7,2
Shaanxi,Mainland China,2020-2-5,165,,6,0
Guangxi,Mainland China,2020-2-5,150,,13,0
Hebei,Mainland China,2020-2-5,135,,6,1
Yunnan,Mainland China,2020-2-5,124,,5,0
Hainan,Mainland China,2020-2-5,99,,5,1
Liaoning,Mainland China,2020-2-5,89,,4,0
Shanxi,Mainland China,2020-2-5,81,,5,0
Tianjin,Mainland China,2020-2-5,69,,2,1
Guizhou,Mainland China,2020-2-5,64,,9,1
Gansu,Mainland China,2020-2-5,62,,6,0
Jilin,Mainland China,2020-2-5,54,,2,0
Inner Mongolia,Mainland China,2020-2-5,42,,3,0
Ningxia,Mainland China,2020-2-4,34,,1,0
Xinjiang,Mainland China,2020-2-5,32,,0,0
,Singapore,2020-2-5,28,,0,0
,Thailand,2020-2-4,25,,5,0
,Japan,2020-2-4,22,,1,0
Hong Kong,Hong Kong,2020-2-5,21,,0,1
,South Korea,2020-2-5,19,,0,0
Qinghai,Mainland China,2020-2-5,17,,3,0
,Germany,2020-2-3,12,,0,0
,Malaysia,2020-2-5,12,,0,0
Taiwan,Taiwan,2020-2-4,11,,0,0
Macau,Macau,2020-2-4,10,,0,0
,Vietnam,2020-2-3,8,,1,0
,France,2020-2-1,6,,0,0
,United Arab Emirates,2020-2-2,5,,0,0
New South Wales,Australia,2020-2-1,4,,2,0
Victoria,Australia,2020-2-1,4,,0,0
Queensland,Australia,2020-2-4,3,,0,0
,India,2020-2-3,3,,0,0
South Australia,Australia,2020-2-2,2,,0,0
"Toronto, ON",Canada,2020-2-4,2,,0,0
,Italy,2020-1-31,2,,0,0
,Philippines,2020-2-2,2,,0,1
,Russia,2020-1-31,2,,0,0
,UK,2020-2-1,2,,0,0
"Chicago, IL",United States,2020-2-1,2,,0,0
"San Benito, CA",United States,2020-2-3,2,,0,0
"Santa Clara, CA",United States,2020-2-3,2,,0,0
,Belgium,2020-2-4,1,,0,0
,Cambodia,2020-1-31,1,,0,0
British Columbia,Canada,2020-2-1,1,,0,0
"London, ON",Canada,2020-2-4,1,,0,0
,Finland,2020-1-31,1,,0,0
Tibet,Mainland China,2020-2-1,1,,0,0
,Nepal,2020-1-31,1,,0,0
,Spain,2020-2-1,1,,0,0
,Sri Lanka,2020-1-31,1,,0,0
,Sweden,2020-2-1,1,,0,0
"Boston, MA",United States,2020-2-1,1,,0,0
"Los Angeles, CA",United States,2020-2-1,1,,0,0
"Orange, CA",United States,2020-2-1,1,,0,0
"Seattle, WA",United States,2020-2-1,1,,0,0
"Tempe, AZ",United States,2020-2-1,1,,0,0
Hubei,Mainland China,2020-2-4,16678,,522,479
Zhejiang,Mainland China,2020-2-5,895,,63,0
Guangdong,Mainland China,2020-2-5,870,,32,0
Henan,Mainland China,2020-2-5,764,,41,2
Hunan,Mainland China,2020-2-5,661,,35,0
Jiangxi,Mainland China,2020-2-5,548,,27,0
Anhui,Mainland China,2020-2-5,530,,20,0
Chongqing,Mainland China,2020-2-5,366,,14,2
Jiangsu,Mainland China,2020-2-5,341,,13,0
Sichuan,Mainland China,2020-2-5,301,,23,1
Shandong,Mainland China,2020-2-5,298,,13,0
Shanghai,Mainland China,2020-2-5,233,,12,1
Beijing,Mainland China,2020-2-4,228,,23,1
Fujian,Mainland China,2020-2-4,194,,3,0
Heilongjiang,Mainland China,2020-2-5,190,,4,2
Shaanxi,Mainland China,2020-2-5,165,,2,0
Guangxi,Mainland China,2020-2-5,150,,10,0
Hebei,Mainland China,2020-2-5,135,,4,1
Yunnan,Mainland China,2020-2-4,122,,5,0
Hainan,Mainland China,2020-2-5,91,,4,1
Liaoning,Mainland China,2020-2-4,81,,2,0
Shanxi,Mainland China,2020-2-4,81,,4,0
Tianjin,Mainland China,2020-2-4,67,,2,0
Guizhou,Mainland China,2020-2-5,64,,5,0
Gansu,Mainland China,2020-2-4,57,,4,0
Jilin,Mainland China,2020-2-5,54,,1,0
Inner Mongolia,Mainland China,2020-2-5,42,,1,0
